Category,Sub-Category,Order Date,Total Sales
0,4,2015-01-13,333.999
0,4,2015-01-14,61.96
0,4,2015-01-19,181.47
0,4,2015-01-26,141.96
0,4,2015-01-31,290.666
0,4,2015-02-12,883.92
0,4,2015-03-03,302.45
0,4,2015-03-18,1198.33
0,4,2015-03-30,205.666
0,4,2015-04-06,353.568
0,4,2015-05-26,290.666
0,4,2015-06-14,212.94
0,4,2015-06-20,193.0656
0,4,2015-07-30,1367.84
0,4,2015-08-08,155.456
0,4,2015-08-19,638.82
0,4,2015-09-07,119.833
0,4,2015-09-11,222.666
0,4,2015-09-20,1657.938
0,4,2015-09-23,435.999
0,4,2015-09-25,300.5328
0,4,2015-10-05,349.965
0,4,2015-10-28,616.998
0,4,2015-11-11,521.96
0,4,2015-11-16,305.9745
0,4,2015-11-17,4007.84
0,4,2015-11-18,424.116
0,4,2015-11-19,1025.88
0,4,2015-11-25,275.952
0,4,2015-11-28,411.332
0,4,2015-12-04,308.499
0,4,2015-12-11,67.9932
0,4,2015-12-12,254.9745
0,4,2015-12-31,1915.448
0,4,2016-01-03,1227.9984
0,4,2016-02-01,452.45
0,4,2016-02-11,512.499
0,4,2016-03-01,1352.3976
0,4,2016-03-10,156.156
0,4,2016-03-12,359.499
0,4,2016-03-13,141.96
0,4,2016-03-24,359.058
0,4,2016-04-16,523.26
0,4,2016-05-04,352.45
0,4,2016-05-09,704.531
0,4,2016-05-10,66.294
0,4,2016-05-14,509.9575
0,4,2016-05-31,1406.86
0,4,2016-06-02,283.92
0,4,2016-06-07,301.96
0,4,2016-06-08,369.1992
0,4,2016-06-28,482.94
0,4,2016-07-14,127.764
0,4,2016-07-17,427.38599999999997
0,4,2016-07-20,1298.374
0,4,2016-07-25,704.9
0,4,2016-08-03,512.94
0,4,2016-08-11,4404.9
0,4,2016-08-16,301.47
0,4,2016-08-21,586.398
0,4,2016-08-28,307.666
0,4,2016-08-31,1552.831
0,4,2016-09-08,687.4
0,4,2016-09-15,46.384
0,4,2016-09-17,9316.054
0,4,2016-09-19,61.96
0,4,2016-09-21,194.32
0,4,2016-10-09,361.96
0,4,2016-10-31,425.833
0,4,2016-11-12,69.576
0,4,2016-11-13,913.9692
0,4,2016-11-20,622.164
0,4,2016-11-21,388.0928
0,4,2016-11-27,170.98
0,4,2016-11-30,681.408
0,4,2016-12-10,1525.4879999999998
0,4,2016-12-20,359.058
0,4,2016-12-24,590.058
0,4,2016-12-25,610.548
0,4,2016-12-27,663.5032
0,4,2017-01-22,451.136
0,4,2017-01-30,48.58
0,4,2017-02-01,173.94
0,4,2017-02-12,781.864
0,4,2017-03-09,543.684
0,4,2017-03-12,205.666
0,4,2017-03-14,241.332
0,4,2017-03-19,72.294
0,4,2017-03-24,301.47
0,4,2017-03-29,299.975
0,4,2017-04-06,136.784
0,4,2017-04-07,1279.165
0,4,2017-04-17,257.499
0,4,2017-05-02,239.98
0,4,2017-05-11,956.6648
0,4,2017-05-12,81.94
0,4,2017-06-09,722.352
0,4,2017-06-14,599.165
0,4,2017-06-17,239.666
0,4,2017-06-21,353.568
0,4,2017-06-30,1266.86
0,4,2017-07-14,579.136
0,4,2017-07-19,504.9
0,4,2017-07-28,177.45
0,4,2017-08-01,1565.88
0,4,2017-08-04,743.604
0,4,2017-08-09,2570.2056000000002
0,4,2017-08-11,261.96
0,4,2017-08-12,405.86
0,4,2017-08-13,241.96
0,4,2017-08-28,156.3728
0,4,2017-08-29,163.88
0,4,2017-09-04,556.665
0,4,2017-09-16,273.666
0,4,2017-09-20,163.88
0,4,2017-09-25,477.666
0,4,2017-09-26,424.9575
0,4,2017-09-27,956.6648
0,4,2017-09-30,523.92
0,4,2017-10-03,176.784
0,4,2017-10-10,90.882
0,4,2017-10-11,341.96
0,4,2017-10-17,241.64600000000002
0,4,2017-10-21,1043.92
0,4,2017-11-20,376.538
0,4,2017-11-21,113.568
0,4,2017-11-24,339.92
0,4,2017-11-26,3406.664
0,4,2017-12-23,141.372
0,5,2015-01-03,1453.934
0,5,2015-01-06,2001.86
0,5,2015-01-12,4391.618
0,5,2015-01-13,545.94
0,5,2015-01-20,1067.94
0,5,2015-02-12,239.84
0,5,2015-03-10,380.631
0,5,2015-03-14,1139.92
0,5,2015-03-21,218.376
0,5,2015-03-22,314.352
0,5,2015-03-25,366.786
0,5,2015-03-30,127.302
0,5,2015-03-31,1125.488
0,5,2015-04-10,589.41
0,5,2015-04-11,135.882
0,5,2015-04-18,317.058
0,5,2015-04-23,562.744
0,5,2015-04-25,1487.04
0,5,2015-04-26,230.28
0,5,2015-04-29,613.544
0,5,2015-05-05,127.869
0,5,2015-05-08,1473.494
0,5,2015-05-11,149.9
0,5,2015-05-13,279.456
0,5,2015-05-16,232.88
0,5,2015-05-21,107.772
0,5,2015-05-26,585.068
0,5,2015-06-01,2573.82
0,5,2015-06-07,478.48
0,5,2015-06-15,797.944
0,5,2015-06-16,647.84
0,5,2015-06-22,1023.9879999999999
0,5,2015-06-28,1228.465
0,5,2015-07-03,966.9839999999999
0,5,2015-07-05,872.32
0,5,2015-07-07,172.186
0,5,2015-07-09,161.96
0,5,2015-07-11,683.144
0,5,2015-07-18,259.136
0,5,2015-07-20,981.372
0,5,2015-07-21,1459.498
0,5,2015-07-22,717.72
0,5,2015-07-26,742.232
0,5,2015-08-06,755.904
0,5,2015-08-07,63.882
0,5,2015-08-09,3855.444
0,5,2015-08-12,603.92
0,5,2015-08-20,921.6120000000001
0,5,2015-09-09,785.88
0,5,2015-09-13,340.116
0,5,2015-09-19,887.103
0,5,2015-09-20,631.782
0,5,2015-09-22,579.528
0,5,2015-09-26,731.12
0,5,2015-09-27,603.92
0,5,2015-10-05,256.784
0,5,2015-10-09,1487.04
0,5,2015-10-10,122.352
0,5,2015-10-11,563.94
0,5,2015-10-12,338.352
0,5,2015-10-13,245.98
